SR. No,Rider ID,Rider Name,Phone,Darkstore ID,Darkstore Name,City,Vehicle Type,Status,Exp (Yrs),Avg Del/Day,Rating,earnings_per_hour,deliveries_accepted_triggers,total_deliveries_trigger,DPDT_percent
302,RDR-MUM-5302,Mohan Rao,+91 9789137659,DS-MUM-1696,Zepto  -  Mulund Flash,Mumbai,Electric Bike,Active,4.3,17,4.9,219,26,26,100
303,RDR-MUM-5303,Shankar Sharma,+91 7542802779,DS-MUM-1696,Zepto  -  Mulund Flash,Mumbai,Electric Scooter,On Leave,0.8,19,3.5,260,36,42,86
304,RDR-MUM-5304,Mahesh Shah,+91 8164907817,DS-MUM-1696,Zepto  -  Mulund Flash,Mumbai,Petrol Scooter,On Leave,3.3,30,4.5,215,5,11,45
305,RDR-MUM-5305,Ravi Kumar,+91 9692322761,DS-MUM-1696,Zepto  -  Mulund Flash,Mumbai,Petrol Scooter,Active,3.7,32,5,174,16,23,70
306,RDR-MUM-5306,Ravi Roy,+91 9823737375,DS-MUM-1696,Zepto  -  Mulund Flash,Mumbai,Petrol Scooter,Inactive,1.3,44,3.6,212,49,49,100
307,RDR-MUM-5307,Ramesh Gupta,+91 7765484610,DS-MUM-1696,Zepto  -  Mulund Flash,Mumbai,Petrol Scooter,Inactive,1.7,27,3.6,203,34,49,69
308,RDR-MUM-5308,Santosh Shah,+91 9361142486,DS-MUM-1696,Zepto  -  Mulund Flash,Mumbai,Electric Bike,Active,3.6,42,3.6,439,32,48,67
309,RDR-MUM-5309,Devraj Subramanian,+91 7200395400,DS-MUM-1696,Zepto  -  Mulund Flash,Mumbai,Petrol Scooter,Active,2.6,35,3.5,353,15,15,100
310,RDR-MUM-5310,Pradeep Patel,+91 8565906941,DS-MUM-1696,Zepto  -  Mulund Flash,Mumbai,Petrol Scooter,Active,4.9,18,4.8,326,15,15,100
311,RDR-MUM-5311,Karthik Gupta,+91 7843338269,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Electric Bike,Active,0.7,17,4.5,211,12,12,100
312,RDR-MUM-5312,Vikram Murthy,+91 9705064109,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Petrol Scooter,Active,4.3,15,4.9,198,16,16,100
313,RDR-MUM-5313,Ashok Reddy,+91 9981437228,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Electric Scooter,Active,1.2,22,4.4,252,17,17,100
314,RDR-MUM-5314,Dinesh Menon,+91 9456192204,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Electric Scooter,On Leave,4.1,37,4.6,448,21,24,88
315,RDR-MUM-5315,Mahesh Krishnan,+91 8157656107,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Electric Scooter,Active,0.8,34,4.7,483,33,38,87
316,RDR-MUM-5316,Umesh Joshi,+91 8131810311,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Petrol Scooter,On Leave,2.5,22,4,465,42,42,100
317,RDR-MUM-5317,Dinesh Chauhan,+91 7829816799,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Petrol Scooter,Active,4,24,4.7,437,30,39,77
318,RDR-MUM-5318,Imran Patel,+91 7387732777,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Electric Scooter,On Leave,3.4,38,4.1,293,48,48,100
319,RDR-MUM-5319,Harish Singh,+91 7105578324,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Electric Bike,Active,3.9,18,3.7,409,36,36,100
320,RDR-MUM-5320,Mohan Chauhan,+91 8698058121,DS-MUM-1667,Zepto  -  Belapur Nano,Mumbai,Petrol Scooter,Active,0.6,26,4.3,262,45,45,100
321,RDR-MUM-5321,Umesh Bose,+91 8513646070,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Bicycle,Active,4,38,4.9,307,20,38,53
322,RDR-MUM-5322,Amit Mukherjee,+91 9282088279,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Petrol Scooter,Active,1.7,23,4.2,268,24,47,51
323,RDR-MUM-5323,Manoj Nair,+91 8396311802,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Petrol Scooter,Active,0.8,23,4.9,260,42,42,100
324,RDR-MUM-5324,Farhan Pillai,+91 8737594763,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Petrol Scooter,Active,1.1,15,4.9,167,46,46,100
325,RDR-MUM-5325,Ajay Chandran,+91 9507903732,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Electric Bike,Active,2,41,4.7,388,36,36,100
326,RDR-MUM-5326,Devraj Bose,+91 7422589929,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Electric Scooter,Inactive,1.4,25,3.8,497,37,42,88
327,RDR-MUM-5327,Santosh Pandey,+91 8889065340,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Petrol Scooter,Active,3.1,22,4,376,9,13,69
328,RDR-MUM-5328,Vikram Chandran,+91 8491932454,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Electric Scooter,Active,3.2,32,3.8,403,31,31,100
329,RDR-MUM-5329,Abdul Sen,+91 7880839406,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Petrol Scooter,On Leave,2.5,24,4.7,483,9,11,82
330,RDR-MUM-5330,Manoj Chandran,+91 8822604249,DS-MUM-1063,Blinkit  -  Belapur Flash,Mumbai,Petrol Scooter,On Leave,1.6,36,3.7,491,19,19,100
331,RDR-MUM-5331,Vinod Rajan,+91 8179419456,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Petrol Scooter,Active,3.1,32,4.3,234,14,14,100
332,RDR-MUM-5332,Nandhu Chauhan,+91 9139476288,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Petrol Scooter,Active,4.5,32,4.4,294,19,19,100
333,RDR-MUM-5333,Deepak Singh,+91 7806094391,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Petrol Scooter,Active,3.3,33,5,227,21,42,50
334,RDR-MUM-5334,Satish Pillai,+91 8908186980,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Electric Scooter,On Leave,1,18,3.9,132,26,47,55
335,RDR-MUM-5335,Mahesh Krishnan,+91 9699140867,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Petrol Scooter,Active,2.5,27,4.2,275,22,22,100
336,RDR-MUM-5336,Satish Mukherjee,+91 9637371044,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Electric Scooter,Inactive,2.7,24,4.1,470,18,40,45
337,RDR-MUM-5337,Deepak Singh,+91 9252122560,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Electric Scooter,Active,4,31,4.2,474,27,45,60
338,RDR-MUM-5338,Pavan Singh,+91 8875235090,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Petrol Scooter,Active,1.9,40,4.6,121,15,33,45
339,RDR-MUM-5339,Ravi Babu,+91 8795752405,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Electric Scooter,Inactive,4.7,38,3.9,337,24,24,100
340,RDR-MUM-5340,Mohan Sen,+91 7455397438,DS-MUM-1533,Zepto  -  Chembur Nano,Mumbai,Petrol Scooter,Inactive,1.5,27,4.4,257,38,38,100
341,RDR-MUM-5341,Mohan Pillai,+91 9564000836,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Electric Scooter,On Leave,4.5,29,4.4,137,15,17,88
342,RDR-MUM-5342,Dinesh Kumar,+91 9330635563,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Electric Scooter,On Leave,4.1,17,4.4,329,10,14,71
343,RDR-MUM-5343,Venkat Nair,+91 8450023635,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Electric Scooter,Active,3.5,30,4.3,464,17,38,45
344,RDR-MUM-5344,Girish Pandey,+91 9517298229,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Petrol Scooter,Active,2.1,42,4.2,150,13,13,100
345,RDR-MUM-5345,Mohan Chandran,+91 9858049231,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Electric Bike,Inactive,3.2,36,3.7,363,15,21,71
346,RDR-MUM-5346,Anil Gupta,+91 8225572934,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Electric Scooter,On Leave,2.8,28,4.4,382,11,11,100
347,RDR-MUM-5347,Prakash Joshi,+91 8299451515,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Petrol Scooter,Active,4.6,44,5,126,19,36,53
348,RDR-MUM-5348,Srikanth Nair,+91 8410133983,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Electric Scooter,Active,2.5,16,4.8,325,40,40,100
349,RDR-MUM-5349,Arjun Das,+91 7309517616,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Electric Bike,Inactive,2.8,30,4.1,376,24,45,53
350,RDR-MUM-5350,Naresh Chauhan,+91 9576582183,DS-MUM-1066,Blinkit  -  Worli Point,Mumbai,Petrol Scooter,Active,0.6,39,3.8,385,45,45,100
351,RDR-MUM-5351,Karthik Mishra,+91 7677252858,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Electric Scooter,On Leave,3,39,4.6,196,16,35,46
352,RDR-MUM-5352,Srikanth Roy,+91 7714947037,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Electric Scooter,On Leave,4.2,26,4.3,383,36,36,100
353,RDR-MUM-5353,Salman Sharma,+91 9573913756,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Petrol Scooter,Inactive,1,41,4.5,466,12,14,86
354,RDR-MUM-5354,Amit Yadav,+91 7582896428,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Electric Scooter,Inactive,0.9,42,5,416,24,29,83
355,RDR-MUM-5355,Abdul Rajan,+91 7325354965,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Electric Bike,Active,2.1,37,4.4,403,9,20,45
356,RDR-MUM-5356,Vinod Nair,+91 9249502403,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Petrol Scooter,Inactive,4.1,33,4,246,16,19,84
357,RDR-MUM-5357,Vikram Bose,+91 9280793819,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Electric Scooter,On Leave,1.8,23,4.9,103,22,49,45
358,RDR-MUM-5358,Mahesh Murthy,+91 9975293837,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Electric Scooter,Inactive,4,44,3.6,134,47,47,100
359,RDR-MUM-5359,Vikram Babu,+91 9236245128,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Petrol Scooter,Active,1.2,25,4.7,291,12,15,80
360,RDR-MUM-5360,Salman Chandran,+91 9521659217,DS-MUM-1621,Blinkit  -  Andheri East Hub,Mumbai,Petrol Scooter,Active,1.7,28,4.1,148,17,17,100
361,RDR-MUM-5361,Manoj Pillai,+91 7532557724,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Petrol Scooter,Active,4.7,26,4.2,116,20,32,62
362,RDR-MUM-5362,Naresh Pandey,+91 9102655449,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Electric Bike,Inactive,0.9,29,4.5,271,35,35,100
363,RDR-MUM-5363,Nandhu Mehta,+91 7954352670,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Petrol Scooter,Active,2.4,21,4.2,319,21,21,100
364,RDR-MUM-5364,Varun Chandran,+91 8462661837,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Petrol Scooter,Active,4.3,40,4,257,27,35,77
365,RDR-MUM-5365,Satish Subramanian,+91 7149330844,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Electric Scooter,On Leave,2.6,18,4.9,145,18,22,82
366,RDR-MUM-5366,Pradeep Shah,+91 8100725768,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Electric Bike,Active,5,44,3.7,472,22,49,45
367,RDR-MUM-5367,Devraj Yadav,+91 7394226159,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Electric Scooter,Active,0.9,36,4.9,105,13,27,48
368,RDR-MUM-5368,Pradeep Sharma,+91 8771737478,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Electric Scooter,On Leave,1.6,35,3.6,198,25,34,74
369,RDR-MUM-5369,Vijay Kumar,+91 7611967311,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Electric Scooter,Active,2.8,29,3.5,479,34,42,81
370,RDR-MUM-5370,Nandhu Pandey,+91 7553456129,DS-MUM-1346,Blinkit  -  Navi Mumbai IV,Mumbai,Petrol Scooter,Active,1.5,17,4.6,332,49,49,100
371,RDR-MUM-5371,Vijay Singh,+91 8494666352,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Electric Bike,Active,4,39,4.8,136,21,21,100
372,RDR-MUM-5372,Devraj Menon,+91 7173456403,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Petrol Scooter,Active,3.4,29,4,379,28,45,62
373,RDR-MUM-5373,Rajesh Pillai,+91 9262536735,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Electric Bike,On Leave,2.5,21,3.6,448,13,13,100
374,RDR-MUM-5374,Vijay Reddy,+91 7733050169,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Petrol Scooter,Active,2.4,40,3.7,401,14,14,100
375,RDR-MUM-5375,Vikram Pillai,+91 7366467312,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Petrol Scooter,On Leave,3.2,39,4.9,280,46,46,100
376,RDR-MUM-5376,Ravi Babu,+91 9423893509,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Electric Scooter,On Leave,1.3,27,3.9,194,17,17,100
377,RDR-MUM-5377,Suresh Rajan,+91 7631381642,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Electric Scooter,Active,3.4,17,4.3,198,37,37,100
378,RDR-MUM-5378,Arjun Mehta,+91 8241715543,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Electric Scooter,Inactive,2.4,32,4.5,287,40,40,100
379,RDR-MUM-5379,Salman Das,+91 7117920106,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Petrol Scooter,Active,1.5,44,3.6,215,18,18,100
380,RDR-MUM-5380,Santosh Roy,+91 8774922644,DS-MUM-1490,Blinkit  -  Ghatkopar Hub,Mumbai,Petrol Scooter,On Leave,2.4,27,3.6,290,23,38,61
381,RDR-MUM-5381,Venkat Sen,+91 9263939376,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Electric Scooter,Active,2.8,21,5,352,19,23,83
382,RDR-MUM-5382,Ramesh Sen,+91 8519544755,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Petrol Scooter,On Leave,3.4,35,3.6,260,25,49,51
383,RDR-MUM-5383,Nandhu Chauhan,+91 9356234948,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Electric Scooter,Active,2.5,29,4.4,355,32,50,64
384,RDR-MUM-5384,Suresh Yadav,+91 9896387342,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Petrol Scooter,Active,0.6,19,4.6,422,14,31,45
385,RDR-MUM-5385,Pradeep Das,+91 8661572729,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Petrol Scooter,Inactive,1.7,26,3.7,227,13,20,65
386,RDR-MUM-5386,Abdul Babu,+91 8886983862,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Electric Bike,On Leave,0.6,40,4.1,117,14,32,44
387,RDR-MUM-5387,Balaji Patel,+91 8864851260,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Electric Bike,On Leave,2.7,31,4,380,8,10,80
388,RDR-MUM-5388,Naresh Babu,+91 9279187532,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Electric Scooter,Active,1,33,4.5,322,46,46,100
389,RDR-MUM-5389,Anil Gupta,+91 9646346564,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Bicycle,Inactive,0.6,16,4.2,153,30,30,100
390,RDR-MUM-5390,Dinesh Rao,+91 7292157835,DS-MUM-1760,Zepto  -  Borivali III,Mumbai,Electric Bike,Inactive,3,44,4.6,157,16,35,46
391,RDR-MUM-5391,Devraj Chauhan,+91 7445532283,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Electric Scooter,Inactive,1.9,41,3.6,422,20,45,44
392,RDR-MUM-5392,Harish Singh,+91 9822977979,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Electric Bike,Active,4.1,16,4.9,459,32,32,100
393,RDR-MUM-5393,Manoj Murthy,+91 8403124688,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Petrol Scooter,Active,0.9,29,3.5,273,6,10,60
394,RDR-MUM-5394,Ganesh Yadav,+91 9942358213,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Electric Scooter,On Leave,2.6,33,5,379,49,49,100
395,RDR-MUM-5395,Abdul Subramanian,+91 7886476517,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Electric Bike,On Leave,1.6,15,4.9,213,24,24,100
396,RDR-MUM-5396,Ravi Gupta,+91 9471969615,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Petrol Scooter,On Leave,0.5,25,3.5,387,30,30,100
397,RDR-MUM-5397,Shankar Joshi,+91 9880841206,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Electric Scooter,Active,4.9,28,4.2,441,18,18,100
398,RDR-MUM-5398,Suresh Reddy,+91 9400460098,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Electric Scooter,Inactive,4.5,31,4.1,250,18,18,100
399,RDR-MUM-5399,Harish Shah,+91 9191163279,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Petrol Scooter,Active,3.4,27,3.6,226,14,19,74
400,RDR-MUM-5400,Prakash Sharma,+91 8811293744,DS-MUM-1456,Blinkit  -  Kurla Ultra,Mumbai,Electric Bike,Active,1.7,25,4.9,254,23,35,66
401,RDR-DEL-5401,Santosh Iyer,+91 9450309958,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Electric Scooter,Active,0.8,21,3.7,485,50,50,100
402,RDR-DEL-5402,Abdul Mukherjee,+91 7266870811,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Electric Scooter,Active,1.9,18,4.3,372,44,44,100
403,RDR-DEL-5403,Abdul Verma,+91 8431042889,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Petrol Scooter,Inactive,0.9,40,4.5,203,26,34,76
404,RDR-DEL-5404,Imran Iyer,+91 9143303806,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Electric Scooter,Inactive,1.2,37,3.9,492,29,35,83
405,RDR-DEL-5405,Pranav Joshi,+91 9152560325,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Petrol Scooter,Active,5,15,4.9,398,20,20,100
406,RDR-DEL-5406,Arun Sen,+91 9690687810,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Electric Scooter,Active,4.1,19,3.7,345,47,47,100
407,RDR-DEL-5407,Suresh Chandran,+91 7240354421,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Electric Scooter,Active,3.6,45,4.5,275,9,11,82
408,RDR-DEL-5408,Ashok Mukherjee,+91 8972680546,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Electric Scooter,Inactive,1.4,35,4.2,138,12,16,75
409,RDR-DEL-5409,Sanjay Patel,+91 8231563076,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Bicycle,Active,1.3,33,4.1,269,21,27,78
410,RDR-DEL-5410,Farhan Joshi,+91 8131656371,DS-DEL-1095,Zepto  -  Naraina Zone,Delhi,Electric Scooter,Active,2.1,44,3.8,346,28,36,78
411,RDR-DEL-5411,Vikram Shah,+91 7137204552,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Petrol Scooter,On Leave,3.4,30,4.1,125,19,43,44
412,RDR-DEL-5412,Srikanth Das,+91 7194190297,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Electric Scooter,Active,1.4,43,4.7,454,21,36,58
413,RDR-DEL-5413,Amit Pillai,+91 9953459662,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Bicycle,Active,3.7,30,4.3,405,11,26,42
414,RDR-DEL-5414,Naresh Mehta,+91 9639440654,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Electric Scooter,Active,0.6,34,3.8,112,33,33,100
415,RDR-DEL-5415,Abdul Mishra,+91 7968285490,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Electric Bike,Active,4,22,5,415,17,34,50
416,RDR-DEL-5416,Vijay Gupta,+91 9358935844,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Electric Scooter,Inactive,4.6,16,4.6,490,16,16,100
417,RDR-DEL-5417,Naveen Mukherjee,+91 8480968571,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Electric Bike,Inactive,1.3,22,4.4,412,10,15,67
418,RDR-DEL-5418,Javed Iyer,+91 8735185398,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Bicycle,On Leave,4.8,33,3.7,135,33,33,100
419,RDR-DEL-5419,Ganesh Chandran,+91 8682101860,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Electric Scooter,Active,0.9,22,4.4,272,25,42,60
420,RDR-DEL-5420,Ravi Roy,+91 8100733897,DS-DEL-1015,Zepto  -  Dwarka Plus,Delhi,Electric Scooter,On Leave,4.1,25,4.6,119,38,38,100
421,RDR-DEL-5421,Varun Sharma,+91 7258604568,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Petrol Scooter,Inactive,4,42,4.3,420,16,31,52
422,RDR-DEL-5422,Harish Patel,+91 8856491925,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Electric Bike,Active,1,24,4,363,20,35,57
423,RDR-DEL-5423,Pradeep Krishnan,+91 8950234433,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Petrol Scooter,Active,1.9,37,5,499,18,37,49
424,RDR-DEL-5424,Nandhu Murthy,+91 9945026004,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Electric Scooter,On Leave,4.2,27,4,241,24,30,80
425,RDR-DEL-5425,Nandhu Yadav,+91 7290812817,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Petrol Scooter,Inactive,4.8,27,4.8,470,11,16,69
426,RDR-DEL-5426,Abdul Mukherjee,+91 7295508799,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Petrol Scooter,Inactive,4.9,22,4.5,242,26,26,100
427,RDR-DEL-5427,Vijay Rao,+91 8251014666,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Electric Scooter,Active,2.1,25,3.8,191,22,29,76
428,RDR-DEL-5428,Deepak Chandran,+91 9819433407,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Petrol Scooter,Inactive,2.5,23,3.8,453,29,50,58
429,RDR-DEL-5429,Nandhu Patel,+91 8375584366,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Petrol Scooter,On Leave,0.7,29,4.6,421,29,29,100
430,RDR-DEL-5430,Pradeep Murthy,+91 8629442753,DS-DEL-1030,Zepto  -  Dwarka I,Delhi,Electric Bike,Active,2.2,41,4.2,387,28,31,90
431,RDR-DEL-5431,Prakash Pillai,+91 9342217614,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Electric Scooter,Active,4.3,24,3.5,314,23,37,62
432,RDR-DEL-5432,Rohit Singh,+91 7467013765,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Electric Scooter,Active,3.8,32,4.9,441,49,49,100
433,RDR-DEL-5433,Deepak Pandey,+91 9758896006,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Electric Bike,On Leave,2.4,35,3.7,150,9,16,56
434,RDR-DEL-5434,Vinod Nair,+91 7208724746,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Electric Scooter,Inactive,2.3,32,4.6,252,8,10,80
435,RDR-DEL-5435,Farhan Sen,+91 8809311588,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Electric Scooter,Active,0.7,33,4.3,285,41,41,100
436,RDR-DEL-5436,Naresh Reddy,+91 7487437109,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Bicycle,Active,4.2,35,4.4,162,22,22,100
437,RDR-DEL-5437,Ganesh Singh,+91 7322214072,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Electric Scooter,Active,0.9,42,3.7,289,39,39,100
438,RDR-DEL-5438,Santosh Das,+91 8809786356,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Electric Scooter,On Leave,2.2,26,4.8,224,23,32,72
439,RDR-DEL-5439,Harish Nair,+91 8147907058,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Electric Scooter,Active,1.5,23,4.3,249,28,28,100
440,RDR-DEL-5440,Ramesh Subramanian,+91 9816688804,DS-DEL-1158,Zepto  -  Connaught Place Base,Delhi,Electric Scooter,On Leave,4.1,28,5,413,41,41,100
441,RDR-DEL-5441,Ashok Gupta,+91 9165480798,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Electric Bike,Inactive,2.4,32,4.5,157,39,39,100
442,RDR-DEL-5442,Pavan Mukherjee,+91 7611382735,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Electric Scooter,Active,4.3,16,4.3,441,38,38,100
443,RDR-DEL-5443,Balaji Rajan,+91 9827497537,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Electric Bike,Active,4.8,29,3.8,404,28,38,74
444,RDR-DEL-5444,Pradeep Verma,+91 7235491190,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Bicycle,Active,3.6,21,5,279,39,39,100
445,RDR-DEL-5445,Girish Reddy,+91 9376903372,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Electric Scooter,On Leave,4.1,17,4.1,269,25,25,100
446,RDR-DEL-5446,Santosh Sen,+91 8396568375,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Petrol Scooter,Inactive,0.6,37,4.4,425,25,49,51
447,RDR-DEL-5447,Balaji Rajan,+91 8220816186,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Petrol Scooter,Active,3.1,39,4.9,370,14,28,50
448,RDR-DEL-5448,Vijay Rao,+91 7704177085,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Petrol Scooter,On Leave,4.4,43,4,153,22,27,81
449,RDR-DEL-5449,Lokesh Mishra,+91 8803072911,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Petrol Scooter,On Leave,0.7,23,4.1,200,10,10,100
450,RDR-DEL-5450,Rakesh Bose,+91 9844813102,DS-DEL-1128,Zepto  -  Noida Sector 18 Hub,Delhi,Petrol Scooter,Active,4.5,37,3.9,363,23,23,100
451,RDR-DEL-5451,Javed Das,+91 8499905152,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Bicycle,Inactive,1.9,23,4.8,152,11,11,100
452,RDR-DEL-5452,Nandhu Menon,+91 7344767409,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Electric Scooter,Inactive,2.5,41,4,159,37,37,100
453,RDR-DEL-5453,Farhan Chauhan,+91 9793159203,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Electric Scooter,Active,4.6,28,4.6,207,32,39,82
